movie,genre,compound
Angel Eyes,"drama,romance","[0.8591, 0.7506, 0.9485, 0.0772, 0.5478, 0.8945, 0.5719, -0.8591, -0.6705, 0.4939, -0.8885, -0.7003, 0.936, 0.3818, -0.7579, -0.6433, 0.9191, -0.0772, 0.9432, 0.1027, -0.7096, 0.8591, -0.4767, 0.7096, 0.9712, 0.9153, 0.5574, -0.9081, -0.7184, -0.765, -0.9136, -0.7096, 0.8555, 0.9118, 0.936, 0.7351, 0.836, 0.8555, 0.8519, 0.7506, 0.8176, 0.3274, 0.9483, 0.9501, 0.9451, 0.967, -0.4404, 0.4767, -0.6808, -0.5859, -0.765, -0.8885, -0.25, 0.6369, 0.9524, -0.8625, -0.9403, -0.0, 0.7096, 0.9744, 0.6908, 0.6124, -0.788, -0.9001, 0.5719, 0.6124, 0.1027, 0.7351, -0.5719, 0.0772, 0.0, 0.8442, 0.7717, 0.1531, -0.5574, 0.1779, 0.5574, -0.4939, 0.7845, 0.4215, 0.7717, -0.34, -0.7096, -0.5106, 0.3182, -0.5994, -0.9552, -0.9118, 0.4019, -0.4019, -0.7845, 0.8319, -0.1779, 0.8402, 0.5859, 0.25, 0.8591, 0.9231, 0.1027, -0.9502, -0.8885, -0.9246, -0.6705, -0.5106, -0.3182, -0.4019, -0.7184, -0.5719, -0.9001, -0.4939, 0.9062, 0.6486, -0.7003, 0.9118, 0.7398, -0.1779, 0.7579, 0.7579, 0.4215, 0.4767, -0.5423, -0.6124, -0.5423, 0.8591, -0.6757, -0.6597, 0.128, 0.6369, 0.9844, 0.9719, 0.8779, 0.9485, 0.7232, 0.9803, 0.4939, 0.9702, 0.9618, 0.8271, -0.9747, -0.7906, -0.9493, -0.296, 0.7269, 0.1779, 0.7506, 0.2732, 0.8126, 0.0, 0.1027, 0.8689, -0.296, 0.7096, -0.0772, -0.4215, 0.8779, 0.0772, -0.6486, -0.9169, 0.802, 0.6249, -0.6705, 0.8069, -0.9249, 0.2732, 0.6124, 0.6597, -0.128, 0.9136, -0.5267, -0.2975, -0.8761, 0.9747, 0.9559, -0.5434, 0.6124, -0.4404, 0.0516, -0.7845, -0.1027, 0.1027, 0.7964, 0.9382, -0.7269, 0.4215, 0.7003, 0.9758, 0.8957, 0.6249, 0.669, -0.9432, -0.836, -0.8271, 0.93, -0.8316, -0.9509, 0.9609, 0.7269, 0.4767, 0.9371, -0.4404]"
"Anniversary Party, The",drama,"[0.6249, 0.6249, 0.5574, 0.6124, 0.5267, 0.8957, 0.8591, 0.5574, 0.0186, 0.8834, 0.9509, -0.6369, -0.9652, 0.4215, 0.5574, 0.7964, 0.8442, 0.5423, 0.875, 0.8126, 0.9485, 0.9136, 0.6808, 0.8658, 0.7964, 0.9403, 0.9607, 0.8271, 0.6249, 0.9468, 0.9432, -0.4051, -0.0258, 0.8402, -0.4472, 0.2023, 0.9442, 0.9451, 0.296, 0.4939, 0.9153, 0.0258, 0.8658, 0.4019, 0.7783, 0.6486, 0.0772, 0.8705, 0.2732, 0.9217, 0.8689, 0.9719, 0.128, 0.9062, 0.7506, -0.3818, 0.9201, 0.7845, 0.2732, 0.4939, 0.8834, 0.5267, 0.886, 0.8885, 0.296, 0.0772, -0.6597, 0.7184, 0.5574, 0.34, 0.6705, 0.7184, 0.7845, 0.4019, -0.1779, -0.5574, 0.9116, 0.9393, 0.8316, -0.2732, 0.3612, 0.0772, 0.0516, -0.8625, -0.5678, 0.9657, 0.5106, 0.5106, 0.1779, 0.8658, 0.4767, 0.743, 0.8885, -0.5423, -0.1531, -0.5719, -0.4939, 0.0516, 0.8316, -0.4939, 0.3818, 0.5106, 0.7845, 0.0516, -0.743, 0.7141, 0.765, 0.5106, 0.9042, 0.34, 0.9726, 0.9834, 0.9118, 0.946, 0.5859, 0.9062, 0.9501, 0.9485, 0.8316, 0.6908, 0.7506, 0.9732, 0.5423, 0.7184, 0.9081, -0.8834, 0.9136, 0.969, 0.8442, 0.875, 0.9451, 0.8689, 0.8779, 0.9826, 0.9509, 0.836, 0.1531, 0.9456, -0.8316, 0.4019, 0.5994, -0.2023, -0.9628, 0.8779, -0.6124, 0.7906, -0.1027, 0.7906, 0.8225, 0.6908, 0.8843, 0.8225, -0.9764, 0.1027, -0.6124, 0.0772, 0.8271, -0.7351, 0.7579, 0.9246, 0.802, -0.8555, -0.836, 0.9781, -0.3818, -0.5267, -0.128, 0.4939, -0.5423, -0.8703, -0.4767, -0.7906, -0.4404, -0.8126, 0.8957, -0.0772, -0.5267, 0.8012, 0.91, 0.9136, 0.9847, 0.5574, 0.2263, -0.8934, 0.7845, 0.4215, 0.8807, 0.8442, 0.0516, 0.9468, -0.7003, 0.8074, 0.4767, 0.4939, 0.5994, 0.6597, -0.8271, 0.8986, 0.926, 0.3182]"
Annie Hall,"comedy,romance","[0.8126, 0.7003, -0.6249, 0.1531, 0.8689, -0.5423, -0.34, -0.2732, -0.2023, 0.0, 0.8459, -0.8807, -0.7003, -0.0498, -0.9628, -0.836, 0.9552, -0.5994, 0.7717, -0.4939, -0.4215, 0.296, 0.6369, 0.8979, -0.8028, 0.7351, 0.5574, 0.8625, 0.8074, 0.3612, 0.296, 0.296, 0.802, 0.9776, 0.9764, 0.9643, 0.8658, -0.296, 0.8271, 0.5719, 0.1027, 0.9371, 0.8979, 0.7184, 0.9403, 0.8519, 0.9779, 0.1531, 0.9153, 0.9118, 0.5574, 0.9738, -0.1027, -0.8481, -0.9657, -0.8625, 0.9118, 0.9833, 0.9779, 0.9501, 0.699, 0.8834, 0.9136, 0.9842, 0.9657, 0.9231, 0.9485, 0.9136, 0.9772, 0.9738, 0.9801, 0.9682, 0.9628, 0.9287, 0.9756, 0.4019, 0.9646, 0.4767, 0.9736, -0.296, 0.3818, -0.128, 0.9723, 0.8126, 0.9937, 0.9558, -0.34, 0.8271, 0.3612, 0.9201, 0.981, 0.9432, 0.9136, 0.8316, 0.9565, 0.9493, 0.9393, 0.8915, -0.9349, 0.9432, 0.872, 0.9595, 0.8481, -0.3395, -0.7845, 0.7196, 0.5859, 0.8402, 0.1531, -0.2732, 0.9799, 0.6786, 0.7351, 0.9705, 0.9477, 0.7845, 0.7096, 0.9141, 0.926, -0.8403, -0.91, 0.9825, 0.8658, 0.6597, 0.6486, -0.8834, 0.9201, 0.0516, 0.9186, -0.25, 0.7269, -0.6249, 0.765, 0.936, 0.7351, 0.9118, -0.0772, -0.9001, 0.936, 0.7096, 0.8658, 0.9788, 0.9881, 0.9686, 0.9771, 0.9413, 0.9761, 0.9812, 0.0516, 0.8568, 0.9337, 0.921, 0.9735, 0.936, 0.5423, 0.908, -0.128, -0.975, -0.946, 0.9118, -0.8807, 0.7579, -0.2023, -0.5423, 0.6808, -0.8934, -0.9485, -0.7506, -0.9753, 0.9678, 0.9846, 0.9843, 0.93, 0.6369, 0.0258, 0.2047, 0.9169, 0.9231, -0.6369, 0.9042, 0.3818, -0.34, 0.7003, 0.3612, 0.9538, 0.5574, 0.9287, 0.5423, 0.9694, -0.4019, -0.4767, 0.0772, -0.9652, -0.9565, 0.9149, 0.9169, 0.9501, -0.4404, 0.6705, 0.9371]"
Anna Karenina,drama,"[0.8779, 0.93, 0.9186, 0.8593, 0.8834, 0.9601, 0.8126, 0.7579, 0.7845, 0.9741, 0.5423, -0.6124, 0.8186, 0.8934, 0.5574, 0.9628, 0.7506, 0.25, 0.9001, 0.2023, 0.8807, 0.9022, 0.9451, -0.8402, 0.8979, 0.9274, 0.6908, 0.7783, 0.7906, -0.4228, -0.0516, 0.128, -0.0258, 0.8442, 0.2263, 0.3612, 0.7783, 0.9246, 0.9169, 0.9801, 0.4019, -0.25, 0.9186, 0.6249, 0.9062, 0.7906, 0.875, 0.8481, -0.3612, 0.2263, 0.9565, 0.0, -0.6908, -0.3612, 0.7761, 0.5994, 0.8316, 0.802, 0.5267, 0.6705, 0.8225, -0.872, 0.7003, 0.34, 0.9509, 0.9337, 0.891, 0.6124, 0.7274, 0.9325, 0.9274, 0.9493, 0.8442, 0.2732, 0.9837, 0.9477, 0.8402, -0.128, 0.0, 0.8442, -0.5994, -0.0772, 0.9423, -0.9531, 0.9769, -0.4019, -0.569, 0.9423, 0.8792, 0.9545, 0.7579, 0.9442, 0.4019, 0.7184, 0.8271, 0.959, 0.9413, 0.8074, 0.8625, 0.9559, 0.9136, 0.765, 0.1027, -0.0, -0.8689, -0.9081, -0.7351, -0.6908, -0.8481, 0.6124, 0.944, 0.6808, 0.2263, 0.7003, 0.8979, 0.9538, -0.5574, 0.765, 0.4939, 0.8658, -0.5267, 0.9246, 0.5574, 0.4588, -0.1833, 0.9485, -0.2732, 0.6808, -0.7184, 0.9774, 0.9538, 0.5417, 0.0258, -0.7195, 0.5423, 0.9565, -0.5719, 0.9801, 0.9153, -0.4767, 0.9485, 0.9571, 0.9792, 0.891, 0.9001, -0.2023, -0.872, 0.6705, -0.25, 0.9274, 0.9545, 0.9723, 0.6998, -0.7184, -0.4019, 0.7964, 0.9313, -0.9325, -0.0352, 0.8779, 0.5574, 0.7096, 0.0258, 0.2023, 0.5267, 0.5574, 0.9081, 0.3182, -0.0516, 0.7351, 0.9702, -0.4404, 0.0, 0.5994, 0.0772, 0.9584, 0.8225, -0.0516, 0.8402, 0.7351, 0.9661, 0.9217, 0.2023, 0.1027, 0.9022, 0.891, 0.9657, 0.9403, 0.9451, -0.5106, -0.6124, 0.8402, 0.5574, 0.9287, -0.7574, 0.34, 0.7845, 0.7717, -0.4779, 0.4588]"
Antz,"adventure,animation,comedy,fantasy","[-0.34, 0.5106, 0.3818, -0.5574, 0.5106, 0.7964, 0.2732, 0.5859, 0.9118, -0.8176, 0.1803, 0.8271, 0.5719, -0.7189, -0.4019, 0.5719, 0.2911, -0.2732, 0.2023, 0.7351, 0.8316, 0.2732, -0.4215, -0.0772, -0.1531, -0.5267, -0.6124, 0.7003, 0.0258, 0.2732, -0.7096, 0.1531, -0.4767, 0.3182, -0.2023, 0.3182, -0.1531, 0.7269, -0.6486, 0.34, 0.7096, 0.7506, 0.296, 0.6249, -0.7351, 0.7269, 0.743, 0.6597, 0.9349, 0.6908, 0.8807, -0.0, 0.886, -0.25, 0.4767, 0.2263, -0.7003, -0.6908, 0.9545, 0.9325, 0.9186, -0.4215, -0.8885, -0.4215, -0.7096, 0.8885, 0.4215, 0.0, 0.6369, -0.743, -0.8885, 0.0516, -0.8402, -0.2732, 0.2023, 0.2263, -0.3818, 0.6705, 0.4767, 0.7845, 0.7783, -0.8271, 0.6369, 0.8689, 0.5719, 0.9337, -0.1531, 0.8442, 0.0, 0.9118, 0.9153, 0.1027, -0.3818, -0.91, -0.7184, -0.0772, -0.4019, -0.128, -0.1779, 0.296, -0.5574, -0.6908, 0.802, -0.0772, -0.2732, 0.0, -0.1027, -0.5574, 0.5423, 0.926, 0.2434, -0.7906, -0.6369, 0.6124, -0.1531, -0.9432, -0.7845, -0.4215, 0.7906, -0.3204, 0.9042, 0.9201, 0.7783, 0.3818, -0.4767, -0.8934, -0.3612, 0.8442, 0.9081, 0.2732, 0.7096, 0.872, 0.1531, 0.4215, -0.1531, 0.4404, 0.1779, 0.4215, -0.8957, -0.8934, -0.7269, 0.4215, -0.891, -0.8555, 0.4588, -0.2023, 0.8402, 0.6369, 0.8074, 0.7845, 0.7269, 0.802, 0.6124, 0.9022, -0.7351, 0.25, 0.1386, 0.0, 0.5859, 0.4404, -0.9173, 0.2732, 0.875, 0.8074, 0.836, -0.4939, -0.1027, 0.875, 0.8176, 0.2732, 0.0, -0.4939, 0.7269, 0.4404, 0.0258, 0.0258, 0.8225, -0.1027, -0.765, 0.7269, 0.3182, -0.5719, -0.8779, 0.6124, -0.1027, 0.765, 0.5994, -0.4588, 0.5859, -0.6486, -0.4767, 0.1531, -0.6808, 0.7783, -0.6249, 0.6124, 0.8225, 0.2732, 0.5719, 0.875]"
Anonymous,"drama,thriller","[0.4215, 0.9118, 0.886, 0.3182, -0.8316, -0.7003, -0.4215, -0.6486, -0.4767, 0.959, 0.4939, 0.6136, 0.6486, 0.9371, 0.9201, 0.9509, 0.9001, 0.91, 0.9735, -0.8779, 0.4588, -0.8479, 0.7906, 0.7184, 0.7184, -0.0258, -0.5994, 0.9246, 0.836, 0.9663, 0.9902, -0.4767, 0.8957, 0.9584, 0.9607, 0.3818, 0.9805, 0.9337, 0.9565, 0.8402, -0.0258, 0.7184, 0.8519, 0.9231, 0.8957, 0.9794, -0.6002, 0.2732, 0.0516, -0.5423, -0.5719, 0.8591, 0.7579, 0.6486, 0.8807, -0.2263, -0.836, 0.875, 0.872, 0.9246, -0.5423, 0.8316, 0.5574, -0.5994, -0.7579, -0.128, 0.4588, 0.21, 0.7783, 0.93, -0.1779, 0.8074, -0.6249, 0.936, 0.802, 0.3612, 0.5423, -0.6369, 0.765, -0.8957, 0.2748, -0.7906, 0.9382, 0.9919, 0.9081, 0.8961, 0.9413, 0.5994, 0.1779, 0.9523, 0.9001, 0.9891, 0.9337, 0.9001, 0.4404, 0.8934, -0.8074, -0.9201, -0.8658, -0.6249, -0.25, 0.0516, 0.2023, -0.3818, 0.8316, 0.7351, 0.8934, 0.7096, 0.6517, -0.25, -0.5574, 0.9337, 0.7717, 0.1779, 0.2023, -0.8555, -0.9477, -0.6249, 0.8807, -0.8176, -0.0258, 0.6369, 0.765, -0.3182, 0.8316, 0.6705, -0.6705, -0.7003, 0.5719, 0.5831, 0.8591, 0.128, 0.7717, 0.1531, -0.9371, 0.5574, -0.7003, 0.128, -0.6249, -0.9022, -0.6486, 0.7351, -0.6808, -0.8126, -0.9854, 0.4404, 0.3612, 0.2732, -0.891, 0.802, 0.3182, -0.5267, 0.7096, 0.9325, 0.5106, 0.8316, -0.9274, 0.1027, 0.6369, 0.8126, 0.5267, -0.7506, 0.34, -0.6124, -0.5574, -0.296, 0.7506, -0.3182, -0.7906, -0.8689, -0.9509, -0.8225, -0.3612, -0.9393, -0.7717, -0.4939, -0.2023, 0.5729, 0.6705, 0.1027, 0.128, -0.296, 0.8004, -0.25, 0.25, 0.8625, -0.6249, -0.8481, -0.8271, 0.3182, 0.765, -0.6164, -0.5574, -0.2023, 0.6486, -0.8019, 0.7003, 0.9081, 0.9432, 0.8225]"
Antitrust,"thriller,crime,drama","[0.4939, 0.0516, 0.6705, 0.8481, 0.9788, 0.7906, -0.2023, -0.2732, 0.9494, 0.765, 0.0772, 0.969, -0.4404, 0.9231, 0.5106, 0.7717, 0.4404, 0.9325, 0.2732, 0.8885, 0.9136, -0.0772, 0.5994, 0.3612, 0.4215, 0.9505, 0.8957, 0.2732, 0.6908, 0.891, 0.1027, 0.2732, 0.802, -0.128, -0.25, 0.3612, -0.8271, 0.2023, 0.6705, 0.7096, 0.4019, -0.6808, 0.8555, 0.9287, 0.2023, -0.3818, 0.5719, -0.6486, 0.765, 0.4767, 0.8442, -0.1779, 0.4019, -0.872, 0.836, -0.8442, 0.5574, -0.6908, 0.9783, -0.128, 0.936, 0.6486, -0.0772, 0.5423, -0.8779, -0.8402, -0.4588, 0.5574, 0.8316, 0.8658, 0.765, 0.3612, 0.0772, 0.4019, 0.5859, -0.3612, -0.0516, -0.5719, -0.5859, 0.0772, 0.7269, -0.5859, 0.4939, 0.4588, 0.743, 0.6369, 0.296, 0.1531, 0.8689, 0.0258, 0.4404, -0.7096, 0.2732, -0.5994, 0.0, -0.9723, -0.2716, -0.6124, 0.9301, -0.34, -0.9217, -0.8316, 0.7845, 0.0516, 0.0, 0.9136, 0.8885, 0.7398, 0.1779, -0.4767, -0.1779, -0.3818, 0.8271, -0.5267, 0.8885, -0.7184, -0.8126, 0.8625, 0.5932, -0.296, 0.7269, 0.1531, 0.7351, -0.4767, 0.8834, 0.9186, 0.4019, -0.0258, -0.6908, -0.8074, 0.9337, 0.5994, 0.8555, 0.0, -0.7269, -0.5423, 0.6124, 0.9136, 0.34, 0.9538, 0.5223, 0.5106, 0.34, 0.296, 0.9313, -0.296, 0.3182, 0.3182, -0.0, 0.7964, 0.8074, -0.6124, 0.9325, -0.8376, 0.2732, 0.8475, -0.7506, 0.0772, 0.4404, 0.34, 0.2732, 0.7845, 0.8555, 0.9382, 0.9246, 0.9217, -0.9022, -0.6504, 0.7506, -0.5719, 0.7506, 0.4939, 0.836, 0.5423, 0.9153, -0.0258, 0.5423, 0.0, -0.7351, -0.5719, 0.0772, -0.7717, 0.0516, 0.4767, 0.1779, -0.4404, -0.5994, -0.4019, -0.7184, 0.9638, 0.4939, -0.25, -0.9136, 0.128, 0.0516, 0.8834, 0.7269, 0.128, 0.743, 0.891]"
"Apartment, The",comedy,"[0.9217, 0.802, -0.0516, -0.8074, -0.4767, 0.0516, 0.9313, 0.9485, -0.0516, -0.0258, -0.4939, 0.9618, 0.5267, 0.8658, 0.6369, -0.4541, 0.4588, 0.1531, -0.4588, 0.5994, 0.9231, 0.8402, 0.1531, 0.765, 0.9517, -0.4215, -0.6705, 0.8442, 0.34, -0.7579, 0.9682, 0.7096, 0.9001, -0.7717, 0.7096, 0.25, -0.9153, 0.7269, 0.7845, 0.9349, 0.7351, 0.4019, 0.9524, 0.9274, 0.4767, 0.8126, 0.7783, 0.128, 0.8834, 0.8651, -0.1779, 0.6124, 0.9217, 0.8126, 0.8481, 0.8909, 0.8885, 0.8885, -0.2023, 0.7906, -0.6486, 0.9382, 0.8402, 0.5859, 0.3612, 0.7906, -0.6369, 0.946, 0.9559, 0.937, 0.1779, 0.7506, 0.8271, 0.5859, 0.9723, 0.8176, 0.2023, 0.2023, 0.743, 0.8126, -0.3612, 0.9552, 0.6369, 0.4939, 0.1531, 0.7783, 0.872, 0.802, 0.7269, 0.5106, 0.4767, 0.9559, 0.7291, 0.6369, 0.8271, -0.34, 0.9451, -0.9082, 0.9337, 0.0772, 0.9509, 0.1027, -0.296, 0.7269, 0.802, 0.9477, -0.6124, 0.25, 0.1779, 0.7506, 0.8689, 0.7269, -0.0516, 0.886, 0.5719, 0.2732, -0.1531, -0.4019, -0.3818, 0.1531, 0.3818, 0.7506, 0.4767, 0.7506, 0.6124, 0.0772, -0.7003, 0.6908, 0.7269, 0.9698, 0.5423, 0.8074, 0.5267, 0.9001, 0.6705, 0.5859, -0.7964, 0.9607, 0.9042, 0.9371, 0.8316, 0.9287, 0.5994, -0.6597, 0.9485, 0.9136, 0.7579, -0.4767, -0.4019, 0.7096, 0.5574, 0.9618, 0.8176, -0.8316, 0.7783, 0.9628, -0.3818, -0.5951, -0.0516, -0.5574, 0.8225, 0.886, 0.8126, 0.128, -0.4767, 0.8271, 0.5574, 0.5574, 0.6597, 0.7717, 0.3818, 0.9118, 0.3182, 0.4767, -0.6486, 0.6808, -0.7964, -0.1779, 0.9601, 0.296, 0.8807, 0.0258, 0.9287, 0.7269, 0.2023, 0.8225, 0.9186, 0.3612, 0.25, 0.6908, -0.1027, 0.0, 0.7269, 0.5719, 0.0258, -0.4019, 0.5994, 0.802, 0.4767, 0.8834]"
April Fool'S Day,"comedy,horror,mystery","[0.0258, 0.9753, 0.8555, 0.5423, -0.765, -0.7184, 0.5574, 0.9686, 0.8519, -0.836, 0.9042, 0.9186, 0.8481, -0.2023, -0.1531, 0.5106, 0.891, -0.1351, 0.8442, -0.7506, 0.6705, 0.2263, -0.9136, 0.5859, -0.8126, -0.8689, -0.8827, -0.5563, 0.73, 0.7351, -0.9501, -0.9393, 0.4215, -0.5994, -0.2263, -0.7184, -0.9709, 0.7351, -0.1531, 0.9186, 0.4939, 0.9042, 0.6808, 0.926, -0.4404, -0.9607, 0.4588, 0.3612, 0.2732, 0.8934, -0.8834, -0.7872, -0.9571, 0.9136, 0.9468, 0.9393, 0.7506, 0.7964, 0.7579, -0.6597, -0.5267, 0.2732, -0.2732, -0.8126, -0.8481, -0.8555, -0.4404, -0.8481, 0.296, -0.7351, 0.25, -0.8934, -0.9201, 0.8225, -0.4588, -0.5423, 0.8934, -0.7964, -0.9042, -0.0258, -0.9729, -0.25, -0.9524, -0.9719, -0.946, -0.9287, 0.8807, 0.2732, -0.8074, -0.6705, -0.9246, -0.0516, -0.5106, 0.7906, 0.5574, 0.2263, 0.9153, -0.1779, -0.4588, 0.296, -0.9325, -0.34, -0.5291, -0.5719, -0.9371, 0.2023, -0.0772, -0.7003, -0.7269, -0.8074, 0.0, -0.4445, -0.7506, -0.296, -0.5859, 0.5719, 0.2263, 0.1779, 0.7783, 0.836, 0.4215, -0.9274, -0.9022, -0.9781, -0.9878, -0.9595, -0.8689, -0.9803, -0.9468, -0.9705, -0.875, -0.9601, -0.8074, -0.9831, -0.9571, -0.9595, -0.9682, -0.9118, -0.9559, 0.7351, -0.9803, -0.6908, -0.9766, -0.9001, -0.9231, -0.959, -0.9393, -0.3612, -0.9432, -0.9744, 0.8591, 0.5719, -0.6981, 0.8225, 0.8597, -0.743, -0.0346, 0.9806, -0.7579, -0.5859, 0.9643, -0.9186, -0.8555, 0.8481, 0.8126, -0.8658, 0.743, 0.7269, -0.1531, 0.6808, 0.204, -0.2732, 0.1779, 0.0516, -0.4215, 0.5423, 0.4019, 0.9022, -0.8779, -0.9595, -0.91, -0.7717, 0.8555, -0.2023, -0.8271, 0.7845, -0.2732, -0.8126, -0.8591, -0.8176, -0.6705, -0.9638, -0.836, -0.9858, -0.9287, -0.8481, -0.886, -0.9792, 0.4939, 0.4588]"
Arbitrage,"drama,thriller","[0.765, -0.7351, 0.9468, -0.4939, 0.4767, 0.0, 0.4939, 0.7845, 0.8271, 0.9217, 0.9732, 0.9869, 0.9612, 0.9393, 0.8625, 0.9413, 0.296, 0.7717, 0.5267, 0.4404, -0.2263, 0.9657, 0.8519, 0.0772, -0.5994, 0.6486, -0.9286, -0.4404, 0.9657, 0.6486, 0.872, 0.9217, 0.886, 0.6369, 0.5859, 0.7506, -0.8625, 0.7579, 0.8481, 0.4215, 0.8957, -0.0772, 0.9201, -0.6249, 0.1531, 0.0516, 0.0772, 0.5574, 0.6369, -0.4902, 0.8555, -0.2023, 0.4404, -0.9371, -0.7184, -0.5106, -0.5574, -0.6801, 0.3612, 0.3182, -0.2732, 0.7264, -0.8555, 0.1027, 0.4215, -0.6808, 0.4019, 0.7003, -0.8689, -0.0772, -0.4404, -0.6486, 0.6808, 0.9201, -0.4019, -0.4767, -0.1531, 0.8176, 0.8519, 0.8074, 0.4767, 0.2263, 0.9136, 0.0258, 0.8126, 0.7003, 0.9325, 0.8316, -0.8555, 0.4404, 0.8957, 0.5719, 0.8176, 0.9062, 0.1531, 0.7579, 0.3818, -0.4215, -0.6908, -0.8126, 0.9349, 0.2732, 0.0, -0.4019, -0.7408, -0.5267, 0.7184, 0.9022, -0.7096, -0.5106, 0.2263, -0.2263, -0.8519, 0.0516, 0.5106, 0.4588, -0.7506, 0.8316, 0.6908, -0.8126, -0.9042, 0.6361, 0.5423, -0.6124, 0.5859, -0.5994, -0.0026, 0.802, -0.7269, -0.5267, 0.0, 0.3818, -0.9042, -0.2732, -0.8809, -0.9747, 0.7096, 0.9118, 0.4588, 0.6597, 0.743, 0.8316, 0.6705, 0.5994, 0.1027, -0.5267, 0.0, 0.5574, 0.1779, 0.4767, 0.0258, -0.7269, 0.9468, 0.128, -0.743, -0.0772, 0.743, 0.9153, 0.0258, 0.7096, 0.7351, 0.9231, 0.4939, 0.3612, -0.8689, -0.9032, -0.0772, -0.5423, 0.5859, 0.4767, -0.3182, 0.0, 0.128, 0.5423, 0.7351, 0.8225, 0.0, -0.0516, 0.7351, 0.0, 0.5423, 0.5423, 0.34, 0.818, 0.7269, 0.9081, 0.4767, -0.7906, 0.0444, 0.8225, -0.5106, 0.7351, 0.9231, 0.3612, -0.8074, 0.8519, 0.0772, 0.8176, 0.8126, 0.8934]"
Apocalypse Now,"action,drama,war","[0.3818, 0.4215, 0.4019, -0.9325, -0.0258, 0.6597, -0.7506, 0.7351, -0.2505, 0.7579, 0.4767, 0.8074, -0.4404, -0.2263, 0.1027, 0.3612, 0.7299, 0.452, -0.886, -0.6249, -0.7096, -0.1184, -0.8519, 0.4019, -0.872, 0.2263, -0.7351, -0.4939, 0.8442, -0.34, 0.0258, 0.3041, -0.9468, 0.7054, 0.802, 0.8481, -0.3182, -0.9313, -0.5994, 0.0258, 0.128, 0.926, 0.9633, 0.9493, -0.967, -0.8176, -0.7717, -0.4215, -0.8957, -0.34, 0.5106, -0.8442, -0.9371, -0.8885, -0.9371, -0.9825, -0.9738, -0.7096, -0.6369, 0.7351, 0.1779, 0.7783, -0.9022, -0.6124, -0.8271, -0.8074, -0.1779, -0.9565, -0.9531, -0.6369, -0.8669, -0.985, -0.3612, -0.9337, 0.9231, -0.9062, 0.4588, 0.7506, 0.0516, 0.3612, -0.5994, 0.5719, 0.9565, 0.701, 0.7732, -0.9747, -0.9766, 0.2732, -0.6808, 0.8934, -0.5106, 0.8388, -0.5267, 0.3182, -0.6486, 0.9231, 0.9169, -0.4404, 0.875, -0.6486, -0.5267, 0.9559, -0.6705, -0.8625, 0.9382, -0.9136, -0.9062, -0.8402, 0.2058, -0.25, 0.9682, 0.7974, 0.6908, 0.34, -0.9509, -0.9571, -0.3612, -0.6908, -0.7506, -0.9042, -0.7351, -0.8442, 0.7506, 0.875, 0.6249, -0.802, 0.0516, -0.8207, 0.7839, -0.8405, 0.6124, 0.5994, 0.7845, 0.9595, -0.8126, 0.7269, 0.0, -0.3182, -0.6597, 0.5574, -0.8979, 0.836, -0.4019, -0.5994, 0.1779, -0.2732, 0.5574, 0.3612, -0.34, 0.2263, -0.6808, -0.2263, -0.9776, -0.926, -0.743, -0.8519, -0.7717, 0.906, 0.1027, -0.4404, -0.8126, 0.6597, -0.9274, 0.9432, 0.2732, 0.2023, 0.1779, -0.6486, 0.8658, 0.2023, -0.8481, -0.7806, -0.5719, -0.9678, -0.9816, -0.4588, -0.9477, -0.9169, -0.749, -0.8271, -0.9537, -0.9694, -0.9855, 0.7717, -0.7269, -0.6597, 0.2263, 0.1027, -0.8442, -0.7783, -0.9686, -0.8316, -0.9297, -0.9168, -0.9753, -0.7003, 0.936, 0.872, 0.2732, -0.9313]"
